id,char_name,command,hit_level,damage,speed,on_block,on_hit,on_counter,notes,is_throw,is_common,gif,punishable
32,akuma,d/f+4,m,24,19,-16,KND,KND,,,,,-16
33,akuma,d/f+1+2,m,23,20 pc8~,-14,KND,KND,Power crush,,true,,-14
34,akuma,d/b or d+1 or FC+1,Sm (TC),5,10s cs4or1~,-5,6,6,,,,,
35,akuma,"d/b or d+1, 2 or FC+1, 2","Sm (TC), Sm (TC)","5,6",s js1~,-13,-2,-2,,,,,
36,akuma,d/b or d+2 or FC+2,Sm (TC),6,12s cs4or1~,-4,7,7,,,,,
37,akuma,d/b or d+3 or FC+3 (Close),l (TC),10,15s cs6or1~,-11,-2,-2,,,,,
38,akuma,d/b or d+3 or FC+3,l (TC),7,15s cs6or1~,-11,-2,-2,,,,,
39,akuma,d/b or d+4 or FC+4,l (TC),20,17~18s cs6or1~,-27,KND,KND,,,true,,-27
40,akuma,b+1,h,15,14~15,-14~-13,KND,KND,,,,,
41,akuma,b+2,m,21,23~24,-9~-8,+8~+9,KND,Homing,,,,
42,akuma,b+4,l,15,20~21,-13~-12,+1~+2,+1~+2,,,,,
43,akuma,"f, F+2",m,14,15(16~),-14,-2,-2,,,,,
44,akuma,"f, F+2:1","m, m","14,20",15(16~),-13~-12,KND,KND,,,true,,-13
45,akuma,"f, F+4",m,23,20~21 (21~),0~+1,+2~+3s,KND,,,,,
46,akuma,"f, f, f+1",h,30,16~17 (19~),+1~+2,KND,KND,,,,,
47,akuma,"f, f, f+3",m (TJ),30,26~31 (29~) js6~,+3~+8,KND,KND,,,,,
48,akuma,WR+4,l (TJ),23,20~26 (53~),-24~-18,KND,KND,,,,,
49,akuma,WS+1,h,12,13,-5,6,6,,,,,
50,akuma,WS+2,m,17,15~16,-15~-14,Launch (JG?),Launch (JG?),,,,,-15
51,akuma,WS+3,m,17,13,-7,5,CS,,,,,
52,akuma,WS+4,m,10,11~12,-9~-8,+2~+3,+2~+3,,,,,
53,akuma,"WS+4, 4","m, m","10,20",11~12,-15~-14,-5~-4s,TUD,,,true,,
54,akuma,Vertical jump 1,m (TJ),10,7(16~43) js1~,-25~+2,-15~+12,-15~+12,,,,,
55,akuma,Vertical jump 2,m (TJ),15,9(18~43) js1~,-18~+7,-8~+17,-8~+17,,,,,
56,akuma,Vertical jump 3,m (TJ),10,7(16~43) js1~,-25~+2,-15~+12,-15~+12,,,,,
57,akuma,Vertical jump 4,m (TJ),15,9(18~43) js1~,-18~+7,-8~+17,-8~+17,,,,,
58,akuma,Forward jump 1 Backward jump 1,m (TJ),10,9(14~40) js1~,-23~+4,-13~+14,-13~+14,,,,,
59,akuma,Forward jump 2 Backward jump 2,m (TJ),15,9(14~40) js1~,-18~+9,-8~+19,-8~+19,,,,,
60,akuma,Forward jump 3 Backward jump 3,m (TJ),10,7(12~40) js1~,-26~+2,-16~+12,-16~+12,,,,,
61,akuma,Forward jump 4 Backward jump 4,m (TJ),15,7(13~40) js1~,-20~+9,-10~+19,-10~+19,,,,,
62,akuma,Forward jump Top of jump d+3,m (TJ),14,13~ (34?~) js1~,-6~+1,+9s~+16s,+9s~+16s,,,,,
63,akuma,qcf+1 or qcf+2,Sm,12,19~,-14~,-6~,-6~,,,true,,
64,akuma,"qcf+1, 1+2, f, f",Sm,12,19~,+7?~,+15~,+15~,,,,,
65,akuma,hcb+1,Sm,12,28~,-9~,-1,-1,,,,,
66,akuma,hcb+2,Sm x 3,"9,9,9","33~,41,49",-1~,KND,KND,,,,,
67,akuma,"f, d, d/f+1",Sm,15,10a cs6~,-26,Launch (JG?),Launch (JG?),,,true,,
68,akuma,"f, d, d/f+1, 1+2f, f",Sm,15,10a cs6~,1,Launch (JG?),Launch (JG?),,,,,
69,akuma,"f, d, d/f+2",Sm x 3,"6,6,20","11,23,35a cs6~7",-34 (~16?a),Launch (JG?),Launch (JG?),,,true,,
70,akuma,"f, d, d/f+2, 1+2f, f (Only first hit)",Sm,6,11a cs6~7,0~,14,,,,,,
71,akuma,"f, d, d/f+2, 1+2f, f (Only two first hits)",Sm x 2,"6,6","11,23a cs6~7",+?,Launch (JG?),Launch (JG?),,,,,
72,akuma,"f, d, d/f+3(or 4)",(Special) (TJ)(DFLIP),,"11,23 6~7",,,,,,,,
73,akuma,DFLIP n,l,23,4~10 (51~),-24~-18,KND,KND,,,true,,
74,akuma,DFLIP 1,h,15,7~ (34~46) js1~,-4~+7,KND,KND,,,,,
75,akuma,DFLIP 2,m,20,16~20 (52~55) js1~,-9~-5s,KND,KND,,,,,
76,akuma,DFLIP 3,m,21,14~ (41~52) js1~,-10~+1,+24k,KND,"Tail spin, Homing",,,,
77,akuma,DFLIP 4,Sm,15,12~ (44~52) js1~,+4~+7g,+16~+19s,+16~+19s,,,,,
78,akuma,DFLIP 1+3 or 2+4,h(Throw),30,(32~),,Throw(KND),,,,,,
79,akuma,qcb+3,h (TJ),10,15 js9~,-15,KND,KND,Tail spin,,true,,-15
80,akuma,qcb+4,"Sm (TJ), h x 3","13,6,6,6","10,25,44,54a js13~",-15,KND,KND,,,,,-15
81,akuma,Jump qcf+1 or 2,Sm,10,18(~) js1~,-21~,-11~,-11~,,,,,
82,akuma,Jump qcb+3 or 4,Sm,10,13(~) js1~,-9~+2,KND,KND,,,,,
83,akuma,"f, d, d/f+3+4 or b, d, d/b+3+4",(Special),,5inv,,,,,,,,
84,akuma,qcf+1+2,"Sm, Sm","10,10",19~,+1~,KND,KND,,,,,
85,akuma,hcb+1+2,Sm x 3,"12,12,12","28~,36,44",+9~,KND,KND,,,,,
86,akuma,"f, d, d/f+1+2",Sm x 3,"6,6,23","11,23,35a",-34,Launch (JG?),Launch (JG?),,,true,,
87,akuma,"f, d, d/f+1+2 (On counter)","Sm, (throw)","7,8,9,9,9","11,,,",,,Throw(Launch),,,,,
88,akuma,qcb+3+4,Sm x 4,"6,6,6,20","10,24,39,44 js10~",-22,KND,KND,Tail spin,,,,
89,akuma,Jump qcf+1+2,"Sm, Sm","10,10","10,23 js1~",+3~,+7~,+7~,,,,,
90,akuma,Jump qcb+3+4,Sm,10,13~ js1~,-4~+9,KND,KND,,,,,
91,akuma,TPORT(f+3+4) qcf+1+2,"m (TJ), Sm x 2(TPORT)","20,10,10",js1~,-5~-1,+5~+9,+5~+9,,,,,
92,akuma,TPORT(f+3+4) qcb+3+4,"m (TJ), Sm x 3(TPORT)","20,6,6,20",js1~,-15,KND,KND,,,,,
93,akuma,TPORT(f+3+4) qcb+3+4 (Third hit miss),"m (TJ), Sm x 2(TPORT)","20,6,6",js1~,-25,KND,KND,,,,,
94,akuma,TPORT(f+3+4) qcb+3+4 (second and third hit miss),"m (TJ), Sm(TPORT)","20,6",1~,-35,KND,KND,,,,,
95,akuma,"qcf, qcf+1+2",Sm x 5,58(20*5),"10~,,,,",+2~,KND,KND,,,,,
96,akuma,1,h,7,10,1,8,8,,,,,
97,akuma,2,Sm,15,15,-9,0,0,,,,,
98,akuma,3,h,14,15,-8,3,3,,,,,
99,akuma,b+3,h,14,15,-8,3,3,,,,,
100,akuma,f+1,h,7,10,1,8,8,,,,,
101,akuma,f+2,Sm,17?,15,-9,0,0,,,,,
102,akuma,"f, F+1",h,7,10(11~),1,8,8,,,,,
103,akuma,"f, F+3",m,18,17(18~),-8,2,2,,,,,
104,akuma,d+1,Sm (TC),5,10,-5,6,6,,,,,
105,akuma,d+2,Sm (TC),6,12,-9,2,2,,,,,
106,akuma,d/b or d+3 (Close),l (TC)?,10,15,-11,-2,-2,,,,,
107,akuma,d/b or d+3 (Far),l (TC)?,6,15,-11?,-2?,-2?,,,,,
108,akuma,d+4,l (TC),20,17~?,-26~?,KND,KND,,,,,
109,akuma,d/b+1,Sm (TC),5,10,-5,6,6,,,,,
110,akuma,d/b+2,Sm (TC),6,12,-4,7,7,,,,,
111,akuma,d/b or d+3 (Close) ,l (TC)?,10,15,-11,-2,-2,,,,,
112,akuma,d/b or d+3 (Far) ,l (TC)?,6,15,-11?,-2?,-2?,,,,,
113,akuma,d/b+4,l (TC),20,17~?,-26~?,KND,KND,,,,,
114,akuma,FC+1,Sm (TC),5,10,-5,6,6,,,,,
115,akuma,FC+2,Sm (TC),6,12,-4,7,7,,,,,
116,akuma,FC+3 (Close),l (TC)?,10,15,-11,-2,-2,,,,,
117,akuma,FC+3 (Far),l (TC)?,6,15,-11?,-2?,-2?,,,,,
118,akuma,FC+4,l (TC),20,17~?,-26~?,KND,KND,,,,,
119,akuma,Forward jump 1,m (TJ),,(~),-?,+?,+?,,,,,
120,akuma,Forward jump 1 (Close to ground),m (TJ),,(~),,,,,,,,
121,akuma,Forward jump 2,m (TJ),15,(~)(~),+3?,+14?,+14?,,,,,
122,akuma,Forward jump 2 (Close to ground),m (TJ),15,(~)(~)(~),7,17,17,,,,,
123,akuma,Forward jump 3,m (TJ),,(~),,,,,,,,
124,akuma,Forward jump 3 (Close to ground),m (TJ),,(~),2,12,12,,,,,
125,akuma,Forward jump 4,m (TJ),15,(~)(~),+3?,+14?,+14?,,,,,
126,akuma,Forward jump 4 (Close to ground),m (TJ),15,(~)(~)(~),7,17,17,,,,,
127,akuma,SS+1,h,7,10(11~),1,8,8,,,,,
128,akuma,SS+2,Sm,15,15(16~),-9,0,0,,,,,
129,akuma,SS+3,h,14,15(16~),-8,3,3,,,,,
130,akuma,SS+4,h,12,14(15~),-13,2,2,,,,,
131,akuma,BT 1 or 2,h,20,8,-8,3,3,,,,,
132,akuma,BT 3 or 4,h,33,10,-8,KND,KND,,,,,
133,akuma,BT d+1 or 2,Sm,10,10s,-2,9,9,,,,,
134,akuma,BT d+3 or 4,l,12,10s,-11,3,3,,,,,
135,alisa,in rage b+1+2 in rage WS+b+1+2 in rage DES b+1+2,"h x 6, (DES)",55,13(~43?) pc8~,1,KND,KND,Rage art,,,,
136,alisa,in rage f+2+3,m (TJ)m,"12,25","16~17 ,36~37",0~+1,SPD,SPD,"Rage drive, Tail spin",,,,
137,alisa,"in rage f+2+3, 3+4","m (TJ)m, (SBT)","12,25","16~17 ,36~37",+5~+6,SPD,SPD,"Rage art, Tail spin",,,,
138,alisa,"in rage f+2+3, f+3+4","m (TJ)m, (DBT)","12,25","16~17 ,36~37",+5~+6,SPD,SPD,"Rage art, Tail spin",,,,
139,alisa,1,h,7,10,1,8,8,,,,,
140,alisa,"1, 1","h, h","7,18",10,-3,5,KND,,,,,
141,alisa,"1, 1, 1+2","h, h, (DES)","7,18",10,-3,5,KND,,,,,
142,alisa,"1, 2","h, h","7,10",10,-2,4,9,,,,,
143,alisa,"1, 2, 2","h, h, l","7,10,17",10,-11~-10,+2~+3,KND,,,,,
144,alisa,"1, 2, 2*","h, h, l","7,10,22",10,-10~-9,KND,KND,,,,,
145,alisa,"1, 2, 4","h, h, h","7,10,21",10,-5~-4,KND,KND,Tail spin,,,,
146,alisa,2,h,10,12,-6,5,5,,,,,
147,alisa,"2, 3","h, m","10,8",12,-10~-9,+1~+2,+1~+2,,,,,
148,alisa,"2, 3, 3","h, m, m (TJ)","10,8,25",12a,-11~-9,KND,KND,Tail spin,,,,
149,alisa,"2, 3, 4","h, m, l (TJ)","10,7,20",js24~,-13~-12,KND,KND,,,,,
150,alisa,"2, 4","h, h","10,21",12,-5~-4,KND,KND,Tail spin,,,,
151,alisa,3,m,12,13~14,-12~-11,-1~0,-1~0,,,,,
152,alisa,"3, 2","m, m x 5, (DES)","12,4*5",13~14,-12,5,5,,,,,
153,alisa,4,h,24,13~14,-5~-4,KND,KND,"Tail spin, Homing",,,,
154,alisa,1+2,m (TJ),21,33~34 js7~,-5~-4,KND,KND,,,,,
155,alisa,f+2,m,12,17~18,-4~-3,+7~+8,+7~+8,,,,,
156,alisa,"f+2, 1","m, m, (DES)","12,20",17~18,-14,CS,CS,,,true,,
157,alisa,"f+2, 1+2","m, (DES)",12,17~18,-4~-3,+7~+8,+7~+8,,,,,
158,alisa,"f+2, 3","m, h (TJ)","12,8",js17~,-8,4,4,,,,,
159,alisa,"f+2, 3, f","m, h (TJ), (Special)","12,8",17~a,-12,0,0,,,,,
160,alisa,"f+2, 3, 3","m, h (TJ), m","12,8,22",js1~12,-10~-9,ED,ED,wb!,,,,
161,alisa,f+3,h,10,14~15,-14~-13,-3~-2,-3~-2,,,,,
162,alisa,"f+3, 2","h, h, (DES)","10,17",14~15,-4~-2,KND,KND,Tail spin,,,,
163,alisa,"f+3, 1+2","h, m, (DES)","13,25",14~15,-13~-12,+8k,+8k,Tail spin,,,,
164,alisa,f+4,m,14,16,-12,-2,-2,Homing,,,,
165,alisa,"f+4, 1","m, h","14,14",16,-9~-8,KND,KND,,,,,
166,alisa,"f+4, 1, 4","m, h, m","14,14,24",16,-14~+12 (-12),KND,KND,,,,,
167,alisa,f+1+2,m,25,14~15,-12~-11,+7~+8,+7~+8,,,,,-12
168,alisa,"f+1+2, 3+4","m, (Special) (TJ)(SBT)",25,14~15a,-16~-15,+3~+4,+3~+4,,,,,
169,alisa,"f+1+2, f+3+4","m, (Special) (TJ)(DBT)",25,14~15a,-16~-15,+3~+4,+3~+4,,,,,
170,alisa,d/f+1,m,10,13,-6,5,8,,,,,
171,alisa,"d/f+1, 1","m, h","10,20",13,+1~+2,+8~+9,+8~+9,,,,,
172,alisa,"d/f+1, 1, 2","m, h, h x 7, (DES)","10,20,4*7",13,6,8,8,,,,,
173,alisa,"d/f+1, 4","m, m","10,17",13,-9~-8,+5~+6s,KND,,,,,
174,alisa,d/f+2,m,16,16~17,-9~-8,Launch (JG?)(+7),Launch (JG?),,,,,
175,alisa,d/f+3,m,14,16,-9,1,1,,,,,
176,alisa,"d/f+3, 3","m, l","14,17",16,-12~-11,+1~+2,KND,,,,,-12
177,alisa,d/f+4,m,13,12,-7,4,4,,,,,
178,alisa,d/f+1+2,"m, (DES)",25,18,-13,8,8,"Power Crush, Tail Spin",,true,,
179,alisa,d+2,m,17,24~26,-14~-12,+2~+4s,+2~+4s,,,,,
180,alisa,"d+2, 4","m, m","17,24",24~26a,-13~-10,KND,KND,,,,,
181,alisa,"d+2, 4, 1+2","m, m, (DES)","17,24",24~26a,-13~-10,KND,KND,,,,,
182,alisa,d+3,"l (TJ), (Special) (TC)",17,23~32s js9~,-10~-1,+8~+17,KND,,,true,,-19
183,alisa,d+3 (After stance ends),"l (TJ), (Special) (TC)",17,23~32s js9~,-19~-10,-1~+8,KND,,,,,
184,alisa,d+4,l,15,17~18,-16~-15,-5~-4,-5~-4,,,,,
185,alisa,"d+4, 1+2","l, h","15,20",17~18,2,KND,KND,Tail spin,,,,
186,alisa,d+3+4,l (TJ),20,27~28 js5~ cs20~,-37,KND,KND,Homing,,true,,
187,alisa,"d+3+4, 1+2","l (TJ), (DES)",20,27~28 js5~ cs20~,,KND,KND,Homing,,,,
188,alisa,d/b+2,m,17,18~19,-18~-17,-5~-4,-5~-4,,,,,
189,alisa,"d/b+2, 2","m, m","17,13",18~19,-10~-9,+14~+15 (SH),+14~+15 (SH),,,,,
190,alisa,"d/b+2, 2, 1+2","m, m, (DES)","17,13",18~19,-10~-9,+14~+15 (SH),+14~+15 (SH),,,,,
191,alisa,d/b+3,l (TC),11,16s cs4~,-12,-1,4,,,,,
192,alisa,d/b+4,l (TC),23,24~25a cs6~,-17~-16,KND,KND,,,true,,-17
193,alisa,b+1,m,15,15~16s,-5~-4,+8~+9,+8~+9,,,,,
194,alisa,"b+1, 1+2","m, Sm, m","15,1,30",15~16,-16~-14,Launch,Launch,,,,,-16
195,alisa,b+2,m,12,18,-12,-2,-2,,,,,
196,alisa,"b+2, 1","m, m","12,17",18,-13~-12,+3~+4s,KND,,,,,
197,alisa,"b+2, 4","m, h","12,20",18,-7~-6,KND,KND,Tail spin,,,,
198,alisa,b+3,m,26,20~22,-8~-6,ED,ED,Homing,,,,
199,alisa,b+4,m,17,15~16,-13~-12,-4~-3,CS,,,true,,
200,alisa,"b+4, 3","m, m","17,20",js1~27,-11~-10,+6~+7s,KND,,,,,
201,alisa,"b+4, 3, 1+2","m (TJ), m, (DES)","17,15",1~27,-11~-10,+6~+7s,KND,,,,,
202,alisa,"b+4, 4","m, m","17,17",js1~27,-37,Launch,Launch,,,,,
203,alisa,"b+4, 4, 3+4/td>","m, m, (SBT)","17,17",15~16,-19,Launch,Launch,,,,,
204,alisa,"b+4, 4, f+3+4/td>","m, m (DBT)","17,17",15~16,-19,Launch,Launch,,,,,
205,alisa,b+3+4,m (TJ),20,19~20 js6~,-17~-16,Launch,Launch,,,,,-17
206,alisa,"b+3+4, 3+4","m (TJ), m (TJ)","20,35",js1~,+5~+10s,KND,KND,,,,,
207,alisa,b+2+3,!,50,75,KND,KND,KND,,,,,
208,alisa,u/b+3+4,m (TJ),25,37~39 js5~,+2~+4s,KND,KND,,,,,
209,alisa,BT 3+4,m (TJ),25,37~39b js5~,+2~+4s,KND,KND,,,,,
210,alisa,"u/b+3+4, 1+2 or BT 3+4, 1+2","m (TJ), m?","25,20",js1~20 ar48~,-14~-13,Launch,Launch,,,,,
211,alisa,u/b or u or u/f+3,m (TJ),15,17~18 js9~,-52~-51,-24~-23 (SH),-24~-23 (SH),,,,,
212,alisa,"u/f+3, 2","m (TJ), m (TJ)","15,30",js1~,-14~-9,KND,KND,,,,,
213,alisa,"u/f+3, 3+4","m (TJ), (Special) (TJ)(SBT)",15,js1~,-29~-28,-3~-2 (SH),-3~-2 (SH),,,,,
214,alisa,"u/f+3, f+3+4","m (TJ), (Special) (TJ)(DBT)",15,js1~,-29~-28,-3~-2 (SH),-3~-2 (SH),,,,,
215,alisa,u or u/f+4,m (TJ),10,15~16 js9~,-15~-14,-4~-3,-4~-3,,,,,
216,alisa,"u/f+4, 4","m (TJ), m","10,10",js1~,-13~-11s,BU,BU,,,true,,-13s
217,alisa,u or u/f+3+4,m (TJ),28,38~41 js9~,0~+3,KND,KND,,,,,
218,alisa,"f, F+2",m,18,16~17 (17~),-18~-17,KND,KND,,,,,
219,alisa,"f, F+2, 3","m, m","18,25",16~17 (17~),-13~-11,KMED,KMED,,,,,-13
220,alisa,"f, F+3",m,12,18~19 (19~) js15~,-18~-17,-6~-5,-6~-5,,,,,
221,alisa,"f, F+3, 4","m, h (TJ)","12,15",js1~,-9~-8,KND,KND,,,,,
222,alisa,"f, F+3, 4, 1+2","m, h (TJ), (DES)","12,15",js1~,-9~-8,KND,KND,,,,,
223,alisa,"f, F+3, 4, 4","m, h (TJ), m","12,15,25",js1~12,-10~-8,KND,KND,Tail spin,,,,
224,alisa,"f, F+3, 4, 4, 1+2","m, h (TJ), m, (DES)","12,15,25",js1~12,-10~-8,KND,KND,Tail spin,,,,
225,alisa,"f, F+4",m,18,19~26 (20~),-11~-4,Throw(+5b),Throw(+5b),,,,,
226,alisa,"f, F+4 When hit f or b+1","m, m","18,22",19~26 (20~),,KND,,,,,,
227,alisa,"f, F+1+2",mm,"5,18","17~18, 30~31 (18~)",-16~-15,CS,CS,,,,,
228,alisa,"f, F+1+2 When hit 2","mm, m x 6, (DES)","5,18,2*6","17~18, 30~31 (18~)",,CS,CS,,,,,
229,alisa,"b, f+2",h,26,16~24 (16~) pc8~15,-8~0,KND,KND,Power crush,,,,
230,alisa,"b, B+1+4",h! (TJ),50,63~80 (64~),KND,KND,KND,,,,,
231,alisa,"f, f, f+2",h,30,13~15 (16~) js3~,+5~+7,KND,KND,,,,,
232,alisa,"f, f, f+3",m (TJ),15,18~19 (21~) js3~,-4~-3,+6~+7,+6~+7,,,,,
233,alisa,"f, f, f+3, 4","m (TJ), m (TJ)","15,20",js1~,-7~-5,KMED,KMED,Tail spin,,,,
234,alisa,WR+1+2,m (TJ),24,18~36 js5~,-3~+15,KND,KND,,,,,
235,alisa,WS+1,m,12,13~14,-12~-11,-1~0,-1~0,,,,,
236,alisa,"WS+1, 2","m, h","12,9",13~14,-5~-4,+6~+7,+6~+7,,,,,
237,alisa,"WS+1, 2, 3","m, h, m","12,9,23",13~14,-10~-9,Launch,Launch,,,,,-10
238,alisa,"WS+1, 2, 3, 1+2","m, h, m, (DES)","12,9,23",13~14,-10~-9,Launch,Launch,,,,,
239,alisa,WS+2,m,24,17~18,-13~-12,Launch,Launch,,,true,,
240,alisa,"WS+2, 3+4","m, (Special) (TJ)(SBT)",24,17~18 js1~,-7~-6,Launch,Launch,,,,,
241,alisa,"WS+2, f+3+4","m, (Special) (TJ)(DBT)",24,17~18 js1~,-7~-6,Launch,Launch,,,,,
242,alisa,WS+3,"m, (Special)",18,19~20a,-135~-134,-126~-125,-126~-125,,,,,
243,alisa,"WS+3, 3, B (Cancel)","m, (Special)",18,19~20,-14~-13,-1~0,-1~0,,,,,
244,alisa,"WS+3, 3 (one spin)",m,20,13~14,-10~-9,+11kg,KND,Tail spin,,,,
245,alisa,"WS+3, 3",m,22,13~14,0~+1,KND,KND,Tail spin,,,,
246,alisa,"WS+3, d+3",l (TC),20,30~31s cs9~,-12~-11,KND,KND,,,,,
247,alisa,WS+4,m,15,11~12,-5~-4,+6~+7,+6~+7,,,,,
248,alisa,WS+1+2,m,20,20~21s,-8~-7,KND,KND,Homing,,,,
249,alisa,"WS+1+2, * (two spins)",m,24,28~29s,-4~-3,KND,KND,Homing,,,,
250,alisa,"WS+1+2, * (three spins)",m,28,39~40s,0~+1,AZUD,AZUD,Homing,,,,
251,alisa,FC+d/f+1+2,ll,"10,16","21~23, 31~33 cs1~",-11~-9,+5~+7s,+5~+7s,,,true,,
252,alisa,"FC+d/f+1+2 , 1+2","ll, (DES)","10,16","21~23, 31~33 cs1~",-11~-9,+5~+7s,+5~+7s,,,,,
253,alisa,SS+4,l,15,24~25 (33~) cs6~,-12~-11,2,+7~+8,,,,,
254,alisa,"SS+4 , 1+2","l, h x 3 (TJ), m (TJ)","15,5*4",js15~,-10~-9,+8~+9,+8~+9,,,,,
255,alisa,BT 4,m (TJ),20,16~17b,-3~-2,KND,KND,,,,,
256,alisa,Opponent Down d/b+1+2,l(On grounded opponent),20,24~26,-14,KND,KND,,,,,
257,alisa,Grounded face up 1+2,(Special) (TJ),,a,,,,,,,,
258,alisa,"Grounded face up 1+2, 3+4","(Special) (TJ), m (TJ)",35,22~23 (42~43) js1~,-10~-9,KND,KND,,,,,
259,alisa,1+2+3,(Special) (TJ),,a,,,,,,,,
260,alisa,1+2+4,(Special),,(g),,,,,,,,
261,alisa,1+2+3+4,(Special) (TJ),,a,,,,,,,,
262,alisa,"1+2+3+4, 1+2","(Special) (TJ), (DES)",,a,,,,,,,,
263,alisa,d/b+1,(Special) (TC),,s(cs4) 15~,,,,,,,,
264,alisa,d/b+1~1,h,31,11~13 (26~) cs4~15,+4~+6,KMED,KMED,Tail spin,,,,
265,alisa,d/b+1~2,h! (Sky),"20(,3)",34~75(49~),KND,KND,KND,,,,,
266,alisa,d/b+1~3,m (TJ),30,24~27 (39~) js15~,-9,KND,KND,,,,,
267,alisa,d/b+1~4,m,30,18~23 (33~) js17~,-9~-4,Launch,Launch,,,,,
268,alisa,f+3+4 (to SBT),(Special) (TJ)(SBT),,18~23 (33~) 17~,,,,,,,,
269,alisa,"f+3+4, B",(Special),,s(47~),,,,,,,,
270,alisa,"f+3+4, D",(Special),,s(36~),,,,,,,,
271,alisa,SBT 1,m,12,13~14 (38~) js1~,-15~-14,0~+1,0~+1,,,,,
272,alisa,"SBT 1, 2","m, m","12,13",js1~,-9~-8,+2~+3,+7~+8s,,,,,
273,alisa,"SBT 1, 2, 1","m, m, m","12,13,7",js1~,-20~-19,-12~-11,-12~-11,,,,,
274,alisa,"SBT 1, 2, 1, 3+4","m, m, m, mm","12,13,10,10,30",js1~,-18,KND,KND,,,,,
275,alisa,"SBT 1, 2, 1 , 3+4, 1+2","m, m, m, mm, (DES)","12,13,7,5,28",js1~,-18~-17,KND,KND,,,,,
276,alisa,SBT 2,m,25,16~27 (41~) js1~,-8~+3,KND,KND,,,,,
277,alisa,"SBT 2, 1+2","m, (DES)",25,16~27 (41~) js1~,-8~+3,KND,KND,,,,,
278,alisa,SBT 3,l,17,16~20s (41~) js1~cs9~,-14~-10,+4~+8s,KND,,,true,,
279,alisa,SBT 4,m,"22(,5)",18~19 (43~) js1~,-27~-26,Launch,Launch,,,true,,
280,alisa,d+1+2 or From special move (to DES),(DES),,18~19 (43~) 1~,,,,,,,,
281,alisa,DES b or F,(DES),,18~19 (43~) 1~,,,,,,,,
282,alisa,DES d+1+2 or D/B (Cancel),(DES),,18~19 (43~) 1~,,,,,,,,
283,alisa,DES 1,mmhhhm,"3*5,20","14,,,",-9,KZUD,KZUD,,,,,
284,alisa,DES 2,mmm,5*3,"20,,",-8,Launch (JG?),Launch (JG?),,,,,
285,alisa,DES 2 When hit 1,"m x 3, h!","5*3,14","20,,",,Launch,,,,,,
286,alisa,DES 3 or 4,,,"20,,",,,,,,,,
